ID,STATION,OPERATEUR,SITE_WEB,COMMUNE,VILLE,ADRESSE,LATITUDE,LONGITUDE,CONTACT,PUISSANCE,BORNES_RAPIDES,BORNES_LENTES,TYPE_ENERGIE,ANNEE_OUVERTURE,STATUT,APPLICATION,TAGS,DESCRIPTION,ICONE
1,Pétro Ivoire Gandhi,Pétro Ivoire,https://petroivoire.com,Yopougon,Abidjan,"Quartier Gandhi, Face à l'église Saint-Philippe",5.34122,-4.06735,+225 07 01 84 10 58,120 kW (Ultra-Rapide),3,10,100% Solaire (Production + Stockage),2025,actif,NEO Charging,"rapide,lente,solaire",Plus grande station de CI. 100% solaire. 620 kWh/jour.,☀️
2,Pétro Ivoire Saint-Jacques,Pétro Ivoire,https://petroivoire.com,Cocody,Abidjan,"Boulevard Latrille, En face de l'Hôtel Palm Club",5.35824,-4.00411,+225 07 01 84 10 60,50 kW (Rapide),1,0,Réseau CIE (Mix Gaz/Hydro),2024,actif,NEO Charging,"rapide,1ere",Première borne de recharge rapide DC de Côte d'Ivoire.,⚡
3,Pétro Ivoire Abatta,Pétro Ivoire,https://petroivoire.com,Cocody,Abidjan,"Route de Bingerville, Axe principal d'Abatta",5.35248,-3.92153,+225 07 01 84 13 73,22 kW,1,2,Réseau CIE (Mix Gaz/Hydro),2024,actif,NEO Charging,"rapide,lente",Station intermédiaire à Cocody avec bornes rapides et lentes.,⚡
4,RIMCO Motors,RIMCO Motors,https://rimco-motors.com,Marcory,Abidjan,"Zone 4, Boulevard de Marseille, Près de Cap Sud",5.30215,-3.98742,+225 27 21 75 88 40,22 kW,1,0,Réseau CIE (Mix Gaz/Hydro),2024,actif,NEO Charging,lente,Borne sur le site du partenaire RIMCO Motors (concessionnaire KIA).,🔋
5,TotalEnergies Riviera 3,TotalEnergies,https://totalenergies.ci,Cocody,Abidjan,"Rond-point de la Riviera 3, À côté du Lycée Français",5.34912,-3.88543,+225 27 21 22 23 24,50 kW (Rapide),1,0,Réseau CIE (Mix Gaz/Hydro),2024,actif,TotalEnergies App,rapide,Station TotalEnergies avec borne rapide 50 kW à la Riviera 3.,⚡
6,Auto24 Showroom,Auto24 Côte d'Ivoire,https://auto24.ci,Marcory,Abidjan,"Boulevard Giscard d'Estaing (VGE), Face à la CFAO",5.31154,-3.97421,+225 07 09 24 24 24,22 kW,0,1,Réseau CIE (Hybride EVTech),2022,actif,NEO Charging Africa,"lente,1ere",Première borne publique de CI. Installée par Auto24 avec EV.Tech.,🔋
7,JSA Éco-Mobilité,JSA Éco-Mobilité,https://jsa-ecomobilite.com,Cocody,Abidjan,"Angré, Près du 8ème Arrondissement de Police",5.39512,-3.97825,+225 07 07 90 90 20,7 à 22 kW,0,2,Réseau CIE (Bâtiment connecté),2024,actif,Contact JSA,lente,Station semi-publique à Angré. Bornes connectées au bâtiment.,🔋
8,EDF CI Marcory,EDF CI,https://edf.ci,Marcory,Abidjan,"Bd Valéry Giscard d'Estaing, Siège EDF Afrique de l'Ouest",5.27828,-3.96845,+225 27 21 59 84 50,22 kW,0,1,100% Solaire,2024,actif,Contact EDF CI,"lente,solaire",Borne au siège d'EDF Afrique de l'Ouest à Marcory.,☀️
9,Loxea / CFAO Bouaké,Loxea (CFAO),https://loxea.ci,Bouaké,Bouaké,"Rue de la Boulangerie Koko, Bouaké",7.68955,-5.03001,+225 27 31 65 61 66,22 kW,0,1,Réseau CIE,2024,actif,Contact CFAO,"lente,1ere",Première borne hors Abidjan. Bouaké 2e pôle de recharge du pays.,🔋
10,Pétro Ivoire Abobo,Pétro Ivoire,https://petroivoire.com,Abobo,Abidjan,Commune d'Abobo (site à confirmer),5.432,-4.037,,À confirmer,0,0,À confirmer,2025,avenir,NEO Charging,avenir,Site annoncé dans le cadre de l'expansion du réseau Pétro Ivoire.,🔜
11,Pétro Ivoire Koumassi,Pétro Ivoire,https://petroivoire.com,Koumassi,Abidjan,Commune de Koumassi (site à confirmer),5.291,-3.964,,À confirmer,0,0,À confirmer,2025,avenir,NEO Charging,avenir,Site annoncé dans le cadre de l'expansion du réseau Pétro Ivoire.,🔜
